;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
8;Curaçá;BA;9  9;+12,5%;13  3;+200%;229  175;-15,9%;5  1;-50%
9;Governador Mangabeira;BA;11  9;0%;17  1;-85,7%;338  178;-30,7%;3  13;+8,3%
0;Ibotirama;BA;9  9;+28,6%;13  3;-72,7%;149  135;-41,8%;7  28;-20%
1;Iaçu;BA;6  9;+12,5%;5  2;-66,7%;72  119;-15%;7  100;+614,3%
2;Muritiba;BA;11  9;-47,1%;35  4;-69,2%;448  313;+11,4%;1  1;-85,7%
3;Amargosa;BA;33  9;+80%;27  4;-55,6%;351  196;-16,2%;16  44;-38%
4;Buerarema;BA;6  9;+28,6%;13  3;-57,1%;55  79;+1,3%;1  5;-50%
5;Belmonte;BA;20  9;-18,2%;16  0;de 9 para 0;55  52;-21,2%;4  16;0%
6;Itatim;BA;2  9;+28,6%;2  2;de 0 para 2;57  49;-42,4%;0  3;+200%
7;Itarantim;BA;4  9;-30,8%;6  4;-63,6%;49  69;-26,6%;6  4;0%
8;Paratinga;BA;5  9;-10%;23  1;-87,5%;208  151;-6,2%;12  10;+150%
9;Uruçuca;BA;6  8;+60%;14  8;-33,3%;87  119;+35,2%;0  7;+40%
0;Conceição da Feira;BA;4  8;+14,3%;14  1;-90%;194  148;-12,4%;0  17;+112,5%
1;Araci;BA;1  8;+60%;9  3;-70%;178  183;-22,5%;0  24;-29,4%
2;Gentio do Ouro;BA;0  8;+300%;1  0;de 1 para 0;91  77;-10,5%;1  23;+475%
3;Sapeaçu;BA;33  8;+60%;7  2;-66,7%;180  166;+3,8%;0  12;+9,1%
4;Oliveira dos Brejinhos;BA;3  8;+300%;8  2;-75%;92  126;-29,2%;6  1;-66,7%
5;Ribeira do Pombal;BA;11  8;+33,3%;8  9;-10%;198  347;+3%;0  4;+100%
6;Caculé;BA;6  7;-36,4%;10  4;-63,6%;158  246;-5,7%;51  0;sem incidência
7;Palmeiras;BA;4  7;-30%;4  1;-66,7%;58  27;-55%;2  0;sem incidência
8;Cotegipe;BA;6  7;0%;4  0;de 3 para 0;66  70;-4,1%;10  7;-30%
9;Ituberá;BA;25  7;-46,2%;15  4;0%;241  137;-1,4%;1  74;+19,4%
